"1. On a scale of 1-5, how actively are you involved in the Cardano ecosystem?",2. What role/s do you have within the Cardano community (select all that apply)?,3. How long have you been engaged with Cardano?,4. Please indicate your level of experience with Cardano:,"5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Development of our core infrastructure]","5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Research and development]","5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Marketing and ecosystem growth]","5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Innovation and grants (e.g. Catalyst)]","5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Regulatory compliance and governance]",6. Which areas do you believe should receive the most funding in the upcoming budget? (Select up to three),"6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [Development of our core infrastructure]","6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [Research and development]","6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [Marketing and ecosystem growth]","6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [Innovation and grants (e.g. Catalyst)]","7. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 6 = Lowest allocation) [Regulatory compliance and governance]","6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [On-chain Governance support]",7. Are there specific technologies or platforms you believe Cardano should adopt/integrate/consider?,9. Do you think Cardano should allocate budget for global outreach and adoption in developing countries?,10. Should funds be allocated to support third-party developers and startups building on Cardano?,8. What percentage of the budget should be reserved for unforeseen opportunities or emergencies?,9. How would you prefer to participate in budget decision-making? (Select all that apply),"10. How much would you like to participate (through committees, working groups and async discussions/research) ?",11. How important is transparency in the budget process to you?,12. How familiar are you with the budget process at Intersect and the budget committee’s progress (see here for more information)?,13. What are the top three projects or initiatives you would like to see funded in the next budget cycle?,14. Are there any areas you feel are currently overfunded and could receive less emphasis?,"15. On the other hand, are there any areas you feel are currently underfunded and could receive greater emphasis?",16. What challenges do you believe are most critical for Cardano to address with its budget?,"17. Are you currently participating in a committee, working group or special interest group?",18. How frequently would you like to receive updates on budget allocation and spending?,19. What level of detail would you prefer to receive?,20. Which communication channels do you prefer for receiving updates on budget and financial activities? (Select all that apply),21. Do you have any additional comments or suggestions regarding the budget planning process or funding allocation for Cardano?,Which region do you primarily reside in?,"7. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 6 = Lowest allocation) [Innovation and funding (i.e. Catalyst)]",Please acknowledge that you have read and agreed to our Privacy Policy?,"5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [On-chain governance support]"
5,"Builder (part of DApp or project), Researcher, On-chain governance (DRep, ICC, SPO)",2 - 5 years,Intermediate,2,1,5,3,,,2,1,4,3,,5,,,,5% - 10%,All of the above,10+ hours per month,5,Neutral,"Tempo, FIMI, UBA",No,Marketing,Community concerns,"No, but would like to",Monthly,Both high-level and detail,All the above,"The process needs to be transparent, clear, easily verifiable, effectively manage risks, and most importantly, be entrusted to the right people.",Asia,,I agree,4
5,"Builder (part of DApp or project), End user, Researcher, Community organizer, On-chain governance (DRep, ICC, SPO), Intersect contributor (member, working group or committee etc)",2 - 5 years,Advanced,5,4,2,3,,,3,2,5,4,,1,,,,11% - 15%,All of the above,10+ hours per month,5,Somewhat familiar,"Modelling and Simulation tools so that the community can explore trade-offs; Community cultivation (Hubs, Local & Online Events) and Community Project/Use case marketing and promotion.",The Cardano Summit,"Community Project/Use case marketing and promotion, Local community events",Empowering its community – our people are our power.,"Yes, several",Monthly,Both high-level and detail,All the above,Each Country requires its own minimum budget allocation for community development. Costs based on local economic conditions are not generalisable across borders.,"Why is Oceania listed as Australia/Oceania? I reside in Aotearoa (New Zealand) we have an active community, Builders, SPO's, DReps, ICC & Intersect Members, etc. Please amend.",,I agree,1
2,End user,2 - 5 years,Intermediate,4,2,1,3,,,4,3,1,2,,5,"I am not sure about the technology, but easy of use for the end users is a must.",,,11% - 15%,"Voting on proposals (as a DRep), Participating in focus groups or workshops, Providing feedback through surveys",1-9 hours per month,5,I have not engaged,I don't know,I don't know,I don't know,I don't know,"No, but would like to",Monthly,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Webinars or live streams",Not at the moment,Europe,,I agree,5
1,100% of my portfolio is ADA,2 - 5 years,Intermediate,2,3,1,5,,,3,2,1,5,,4,Anything that gets ADA over $15,,,Unsure/I don’t know,Providing feedback through surveys,Unsure/I don’t know,5,Not familiar,Anything that gets ADA to $15 or above ,,Marketing ,Finally getting ADA to $15 or above ,"No, and not interested or have enough time",Monthly,Both high-level and detail,All the above,Urgent community support is requested. ,North America,,I disagree (and do not want to be contacted),4
3,"Builder (part of DApp or project), End user, On-chain governance (DRep, ICC, SPO), Intersect contributor (member, working group or committee etc)",2 - 5 years,Advanced,5,1,2,3,,,5,2,1,3,,4,Layer 1 specific improvements should be prioritized. ,,,11% - 15%,"Voting on proposals (as a DRep), Participating in focus groups or workshops, Providing feedback through surveys",1-9 hours per month,5,Neutral,"Peras, Leios, Hydra",Partnerchains,Developer training ,L1 improvements,"No, but would like to",Monthly,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Official website updates","No, great job so far ",Europe,,I agree,4
5,"Builder (part of DApp or project), End user, Researcher, Content creator / educator, Intersect contributor (member, working group or committee etc)",Over 5 years,Advanced,1,4,2,3,,,1,5,2,3,,4,"Add AI-based efficiencies to Cardano's core technology, deepen/capitalize on integration between BTC and Cardano. Get a strong stablecoin established on Cardano so it can be seen as an attractive resource for major payment processors like Stripe.Get clarity on the future of algorithmic stablecoins like Djed since it seems their future is being threatened by government-led initiatives like MiCA. 

https://www.paymentsjournal.com/stripes-stablecoin-integration-sees-blockbuster-first-day",,,5% - 10%,"Voting on proposals (as a DRep), Participating in focus groups or workshops, Providing feedback through surveys, Serving on committees or working groups",1-9 hours per month,5,Somewhat familiar,"1.Marketing
2. Strategic Partnerships (example: Stripe)
3. Core Technology Upgrades (incorporate AI)","Research - vital and must continue, but some of that budget can be dispersed toward other initiatives now that primary milestones have been reached.",Marketing and strategic partnerships.,"Adoption, countering orchestrated FUD, preparedness for quantum computing, smart integration of AI technology","Yes, one committee, working group or special interest group",Quarterly,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Official website updates, Webinars or live streams",Not at this time.,North America,,I agree,5
5,"Builder (part of DApp or project), End user, Content creator / educator, Community organizer, On-chain governance (DRep, ICC, SPO), Intersect contributor (member, working group or committee etc)",2 - 5 years,Expert,1,3,5,4,,,1,3,5,4,,2,gouroboros,,,More than 15%,"Voting on proposals (as a DRep), Participating in focus groups or workshops, Providing feedback through surveys, Serving on committees or working groups, All of the above",1-9 hours per month,5,Very familiar,"Marketing, MCC, Open Source",none,Startups,"Transaction volume, R&D, Infrastructure, Community, Price","Yes, several",Quarterly,"High-level summary; current progress, milestones and/or upcoming events etc","Official website updates, Social media platforms, Webinars or live streams",clarity mby a strong single source of truth,Europe,,I agree,2
5,"Builder (part of DApp or project), Researcher, Content creator / educator, Community organizer, Intersect contributor (member, working group or committee etc)",2 - 5 years,Advanced,1,4,3,5,,,3,4,1,2,,5,Cardano should integrate Bitcoin lightening like payment rails.,,,5% - 10%,"Participating in focus groups or workshops, Serving on committees or working groups",10+ hours per month,5,Very familiar,"Stablecoins, Payment Aggregators, and Large-Scale Marketing",Wallets ,Hackathons and Large-scale Marketing Initiatives ,Enterprise Onboarding and Real-world asset Adoption,"Yes, several",Monthly,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Official website updates","The budget allocation should be as transparent as possible, followed by expense auditing. ",Asia,,I agree,2
4,"On-chain governance (DRep, ICC, SPO)",Over 5 years,Advanced,1,4,3,2,,,1,4,2,3,,5,Midgard from Anastasia Labs,,,More than 15%,"Voting on proposals (as a DRep), Providing feedback through surveys",Unsure/I don’t know,5,Somewhat familiar,"- Core infrastucture
- Catalyst
- Midgard",/,/,/,"Yes, one committee, working group or special interest group",Monthly,"High-level summary; current progress, milestones and/or upcoming events etc",All the above,/,Europe,,I agree,5
5,"Builder (part of DApp or project), End user, Content creator / educator, Community organizer, On-chain governance (DRep, ICC, SPO)",Over 5 years,Expert,4,3,5,1,,,5,4,3,2,,1,"1) USDC on chain

2) On boarding of ADA and Cardano Native Assets on all major Centralized Exchanges and a transparent pipeline established for new and existing projects to go through to get listed.

3) Fixes to parameter issues and critical issues with staking: implementation of K = 1000, a0, min variable fee, sticky stake/stake stuck in retired pools, disabling the ability to oversaturate a pool when staking, the issue of decentralization via actual K vs intended K - currently 70% of all stake is controlled by 30% of the pools, this means that 500 individual pools are not being supported by the network - actual K is around 280. Some of these issues can be fixed with: Pool portfolios or a preferential pool selection list where delegators pick 3 stake pools instead of one (in case one retires), if/then programming for staking to solve for things like: when a pool becomes saturated, retired, or pledge not met. An open line of communication between delegators and their SPO via wallets. 

4) Lower the cost required to send NFTs -> this currently always needs at least 1ADA attached and seems to be either to generate artificial ADA volume moving on the chain, or as a form of spam protection. This gets expensive from a developer perspective, especially in growing countries like Africa. When ADA increases in price, this will be very unaffordable. We should be looking at pricing this cost as the same price as what the tx fees are if this is really necessary, so around ~0.20 ADA

5) Cardano advertising with value for money in mind - focus on the benefits of Cardano and direct builders and investors where to go to get started.

6) An alternative platform to gov.tools - mine is already broken, I can't vote and this hasn't been fixed and no reply has been sent from my email.

7) Providing ADA pooling tools to the community so that we can get real participation in Cardano governance. 100K ADA is a huge paywall barrier, and we are already seeing that hardly anyone is submitting proposals because of this. Spam protection should not debilitate governance completely, and DReps are very under utilized with only 5 proposals submitted for governance. Now that the ADA price is increasing and we are seeing the start of a bull market, this barrier will only increase and 100K ADA will soon be a 100K USD barrier, then a 200K USD barrier, and unless this barrier is accounted for with a pegging to a currency other than ADA you will be pricing out everyone except the wealthy - not what the Cardano vision stands for. ADA pooling tools integrated in gov.tools would allow for the community to gather behind proposals they want to support and would actually drive people to care about governance on Cardano. We want to lead by example, and Catalyst is already doing much better than Intersect with 25 ADA as a minimum balance required to vote in F13. It is clear that lessons have not been learned from what Catalyst has accomplished, and I feel we are re-inventing the wheel into a square shape :(

8) Bitcoin OS collaboration and supporting other builders working to solve for Bitcoin+Cardano integration, like FluidTokens. Help them to achieve full interoperability on chain for Bitcoin on Cardano so Bitcoin users can experience all the benefits of Cardano and Cardano gets the tx volume, fees, and adoption from the Bitcoin ecosystem. Advertising could help in this area as well.

9) Proper implementation and support for DIDs where they are needed, like with voting so that we can incorporate Quadratic Voting for governance and Catalyst. This would achieve the Cardano vision better than 1 ADA = 1 Vote, which will eventually stagnate governance and centralize it instead of decentralizing it,  as we can extrapolate when you compare this to our current broken fiat government structure which follows the same governance model -> more money = more power. Atala Prism was donated to the Hyperledger Foundation, so does this mean it is ready to be used? Or is more work needed here? It feels like this entire idea has been abandoned when it could be a key part of what we need for true decentralized governance.

9) Input Endorsers

10)Oroboros Leios",,,More than 15%,"Voting on proposals (as a DRep), Providing feedback through surveys, Open comments on publicly shared documents that should be available to the Cardano community -> budget, constitution, etc. This could be done via google docs or GitHub.",1-9 hours per month,5,Very familiar,"Top 3 from my previous list:

1) USDC on chain

2) On boarding of ADA and Cardano Native Assets on all major Centralized Exchanges and a transparent pipeline established for new and existing projects to go through to get listed.

3) Fixes to parameter issues and critical issues with staking: implementation of K = 1000, a0, min variable fee, sticky stake/stake stuck in retired pools, disabling the ability to oversaturate a pool when staking, the issue of decentralization via actual K vs intended K - currently 70% of all stake is controlled by 30% of the pools, this means that 500 individual pools are not being supported by the network - actual K is around 280. Some of these issues can be fixed with: Pool portfolios or a preferential pool selection list where delegators pick 3 stake pools instead of one (in case one retires), if/then programming for staking to solve for things like: when a pool becomes saturated, retired, or pledge not met. An open line of communication between delegators and their SPO via wallets. ","Building the same tools multiple times -> So many wallets now, DEXes.

Administrators or research teams when there are no results delivered after years (ie: k=1000, a0, min fixed fee). Dancing around the issues without any action and creating more administrative roles (ie: working groups) without any results does not accomplish anything and feels like a waste. Where is the research? If this cannot be handled internally, then provide the tools to the community so we can do the practical research required. What more is needed, a testnet? This is my thought process here.","Fixing long standing issues with staking and parameters, see point 3) above.","Publishing an actual budget with items broken down so that the community can see the cost estimates (t-shirt sizes, whichever). This is what it means to be transparent, and everything else comes off as deflection/ill preparation unfortunately. Leading with a cost estimate of 300-500 Million ADA without any numbers should not happen again :(

We are entering a bull market now, so it is hard to justify the need for 500 Million ADA. Going with a budget of at most the ~334 million we expect to take in as income to the treasury is prudent.

We should be considering our spending actions like a real government would, and save for the hard times instead of asking for all the ADA we'd earn or more. We only have to look at current fiat governments and the broken financial system we have as a result to remind ourselves why we should do better. Cryptocurrency was created to counteract the flaws of fiat and we should not re-create them in our own system.

Saving a surplus would be the wisest move, and having ADA available for governance requests outside of Intersect would also be smart. These will come and we should plan for it. Until I can see numbers to justify Intersect getting management of 300-500 Million ADA, then I can't support this ask.

I can support Intersect getting management of ~200 Million ADA (since Catalyst is included here), leaving ~40 Million ADA available for extra spending items, and the rest to stay in the treasury for saving for the future.

I'd say these are fair numbers that mitigate risk of putting all our ADA in the Intersect basket, and still leaves room for unknowns. If more ADA is needed, then this needs to be justified with real numbers.","No, and not interested or have enough time",Monthly,Both high-level and detail,"Email newsletters, Official website updates, Social media platforms, Community forums","I think there has been a lot learned already for next year, and I hope we can come to a resolution as soon as possible. I do think Intersect has done a good job starting the process, but transparency has to exist outside of Intersect itself. Although Intersect prioritizes its members and working policy through them first, this does not mean that the Cardano community is involved. Large outreach via social media is likely the best way to get community feedback that reflects a large number of people, and as stewards of Cardano's treasury ADA, Intersect should be prioritizing all ADA holders in their decision making process and early on instead of late (which gets a bad reaction). Thank you for all your hard work, it is appreciated and I look forward to what comes of the process.",North America,,I agree,2
